Segunda-feira,Escolaridade,Quantidade
2020-12-28,0,6.0
2020-12-28,1,18.0
2020-12-28,2,11.0
2020-12-28,3,17.0
2020-12-28,4,4.0
2021-01-04,0,52.57142857142857
2021-01-04,1,159.57142857142858
2021-01-04,2,89.42857142857143
2021-01-04,3,127.42857142857143
2021-01-04,4,42.142857142857146
2021-01-11,0,117.28571428571429
2021-01-11,1,392.7142857142857
2021-01-11,2,236.71428571428572
2021-01-11,3,376.57142857142856
2021-01-11,4,176.28571428571428
2021-01-18,0,136.0
2021-01-18,1,439.2857142857143
2021-01-18,2,284.2857142857143
2021-01-18,3,428.57142857142856
2021-01-18,4,221.28571428571428
2021-01-25,0,140.14285714285714
2021-01-25,1,458.2857142857143
2021-01-25,2,269.0
2021-01-25,3,423.14285714285717
2021-01-25,4,230.71428571428572
2021-02-01,0,139.28571428571428
2021-02-01,1,467.57142857142856
2021-02-01,2,278.2857142857143
2021-02-01,3,430.42857142857144
2021-02-01,4,219.28571428571428
2021-02-08,0,144.57142857142858
2021-02-08,1,475.42857142857144
2021-02-08,2,285.7142857142857
2021-02-08,3,461.57142857142856
2021-02-08,4,232.0
2021-02-15,0,141.14285714285714
2021-02-15,1,487.42857142857144
2021-02-15,2,328.0
2021-02-15,3,528.7142857142857
2021-02-15,4,277.57142857142856
2021-02-22,0,159.28571428571428
2021-02-22,1,624.4285714285714
2021-02-22,2,402.57142857142856
2021-02-22,3,674.2857142857143
2021-02-22,4,337.7142857142857
2021-03-01,0,182.28571428571428
2021-03-01,1,747.1428571428571
2021-03-01,2,487.14285714285717
2021-03-01,3,818.0
2021-03-01,4,415.57142857142856
2021-03-08,0,202.14285714285714
2021-03-08,1,838.0
2021-03-08,2,553.8571428571429
2021-03-08,3,1000.8571428571429
2021-03-08,4,471.7142857142857
2021-03-15,0,237.85714285714286
2021-03-15,1,925.7142857142857
2021-03-15,2,621.8571428571429
2021-03-15,3,1084.142857142857
2021-03-15,4,484.85714285714283
2021-03-22,0,231.0
2021-03-22,1,923.2857142857143
2021-03-22,2,622.2857142857143
2021-03-22,3,1073.142857142857
2021-03-22,4,459.7142857142857
2021-03-29,0,223.0
2021-03-29,1,826.2857142857143
2021-03-29,2,564.1428571428571
2021-03-29,3,956.0
2021-03-29,4,390.85714285714283
2021-04-05,0,213.85714285714286
2021-04-05,1,778.0
2021-04-05,2,543.5714285714286
2021-04-05,3,901.0
2021-04-05,4,354.0
2021-04-12,0,204.85714285714286
2021-04-12,1,739.8571428571429
2021-04-12,2,496.0
2021-04-12,3,849.7142857142857
2021-04-12,4,320.0
2021-04-19,0,177.14285714285714
2021-04-19,1,654.5714285714286
2021-04-19,2,456.57142857142856
2021-04-19,3,774.7142857142857
2021-04-19,4,297.57142857142856
2021-04-26,0,164.14285714285714
2021-04-26,1,643.7142857142857
2021-04-26,2,458.57142857142856
2021-04-26,3,770.0
2021-04-26,4,293.42857142857144
2021-05-03,0,174.71428571428572
2021-05-03,1,623.4285714285714
2021-05-03,2,452.85714285714283
2021-05-03,3,771.7142857142857
2021-05-03,4,290.0
